"SID","lat","lon","elev","name"
1240,64.1728,9.4061,15.92,"HALTEN LH"
1241,63.7003,9.6011,8.53,"ORLAND III"
1242,63.9658,10.2156,20,"AFJORD II"
1245,62.6042,9.6667,598.8,"OPPDAL-SETER"
1250,62.1281,9.9947,694,"FOLLDAL-FREDHEIM"
1252,62.82,10.02,475,"BERKAK"
1253,62.9533,10.1786,299,"SOKNEDAL"
1254,62.9761,10.5606,127,"KOTSOY"
1257,63.4106,10.4539,131.5,"TRONDHEIM/VOLL"
1259,64.4014,10.455,18.42,"BUHOLMRASA LH"
1262,64.7975,10.5492,33,"NORDOYAN LH"
1265,62.2694,10.7319,482.3,"TYNSET-HANSMOEN"
1270,63.4881,10.8794,40,"KVITHAMAR"
1271,63.4592,10.935,17.06,"TRONDHEIM/VERNES"
1272,63.5656,10.6939,70,"FROSTA"
1273,63.2247,11.0075,161.56,"SELBU"
1274,63.2,11.12,242,"---"
1277,64.0222,11.4506,6,"STEINKJER"
1278,63.7822,11.6742,83.3,"VERDAL-REPPE"
1280,64.1333,11.3333,118,"NAMDALSEID-VENGSTAD"
1281,64.7419,12.8458,140,"NAMSSKOGAN"
1282,64.835,11.1408,4,"RORVIK AP"
1287,62.6797,11.8167,760,"SOLENDET"
1288,62.5772,11.3517,626.05,"ROROS AP"
1290,64.4708,11.5706,2,"NAMSOS AP"
1291,64.5308,12.3836,95,"GARTLAND"
1292,63.42,11.75,240,"---"
1293,63.4114,11.7275,169.97,"MERAKER-EGGE"
1295,64.55,12.15,27,"HOYLANDET"
1298,64.4456,13.7178,433,"NORDLI-HOLAND"
1300,61.2042,2.2686,80,"GULLFAKS C"
1304,61.5717,4.6817,25.3,"YTTEROYANE LH"
1307,60.78,4.7197,18.96,"FEDJE"
1308,61.2928,5.0444,7,"FURUNESET"
1310,61.5831,5.0278,9,"FLORO AP"
1311,60.2892,5.2264,50.29,"BERGEN/FLESLAND"
1314,60.5206,5.7247,10,""
1315,60.6469,6.1106,17,"EVANGER"
1317,60.3831,5.3336,12,"BERGEN/FLORIDA"
1318,61.7878,6.1856,51,"SANDANE"
1319,61.0269,5.3806,38,"TAKLE"
1320,61.8294,6.1044,60,"SANDANE AP"
1321,61.9156,6.5583,208.62,"STRYN"
1322,61.4647,5.9331,64,"FORDE-TEFRE"
1323,61.3911,5.76,321,"FORDE AP"
1326,60.8561,5.9731,125,"MODALEN III"
1327,60.3886,5.9639,455,"KVAMSKOGEN-JONSHOGDI"
1329,60.3578,6.2747,49.62,"KVAMSOY"
1332,61.4231,6.7642,3,"FJAERLAND-BREMUSEET"
1337,60.625,6.4261,55.26,"VOSSEVANGEN"
1338,61.1711,6.6469,54,"VANGSNES"
1340,60.4083,7.2797,735.9,"FET I EIDFJORD"
1341,60.47,6.87,166,"---"
1342,60.3186,6.6539,12,"ULLENSVANG"
1344,60.7019,6.9372,695,"MJOLFJELL"
1345,60.7192,7.2086,960,""
1346,60.6569,7.2769,1162,"MIDTSTOVA"
1347,61.1581,7.1414,497,"SOGNDAL AP"
1350,60.5925,7.5303,1209.75,"FINSEVATN"
1352,60.1839,7.4814,1250,"SANDHAUG"
1355,61.1031,7.5025,4.13,"LAERDAL IV"
1357,60.8706,8.5175,804.2,""
1358,60.8547,8.5931,604,"HEMSEDAL II"
1359,60.53,8.1947,773.51,"GEILO-OLDEBRATEN"
1360,61.8964,7.8956,664,"BRATA-SLETTOM"
1361,62.0161,7.6636,871.9,"GROTLI III"
1362,61.6778,8.3728,1894,"JUVVASSHOE"
1363,60.4158,8.501,798,""
1364,61.1778,8.1125,955.1,"FILEFJELL"
1365,61.2506,8.9228,965,"BEITOSTOLEN II"
1366,61.5644,7.9978,1413,"SOGNEFJELL"
1367,60.9867,9.2367,365.4,"FAGERNES"
1368,61.0128,9.2928,822,"FAGERNES AP"
1369,60.9181,9.29,639,"ABJORSBRATEN"
1370,61.5308,9.4022,928,"SKABU"
1371,61.1219,9.0631,521,"LOKEN I VOLBU"
1372,60.57,9.13,167,"---"
1373,60.5669,9.1336,167.34,"NESBYEN-TODOKK"
1374,60.9367,10.0381,542,"VEST-TORPA II"
1375,61.4647,10.1275,1030,"KVITFJELL"
1376,60.3828,9.605,142,"GULSVIK II"
1378,61.0925,10.4772,242.4,"LILLEHAMMER-SAETHERENGEN"
1380,61.6511,10.1086,930,"VENABU"
1381,60.7003,10.8683,264,"APELSVOLL"
1382,60.7733,10.8056,128,"KISE"
1383,61.4253,11.0803,257,"EVENSTAD-DIH"
1384,60.2064,11.08,207.56,"OSLO/GARDERMOEN"
1385,60.8178,11.0694,222.27,"HAMAR"
1386,60.8008,11.0975,132,"HAMAR II"
1387,61.455,10.1856,200,"FAVANG"
1389,61.1592,11.4425,238.22,"RENA-HAUGEDALEN"
1392,60.6139,12.0122,184.6,"FLISA II"
1393,61.8897,12.0333,673.5,"DREVSJO"
1397,61.2942,12.2717,361.36,"TRYSIL VEGSTASJON"
1400,56.5,3.2,48.8,"EKOFISK"
1401,59.9833,2.25,48,"FRIGG"
1403,59.3064,4.8722,56.3,"UTSIRA LH"
1406,59.9081,5.0681,16.3,"SLATTEROY LH"
1407,59.7933,5.3407,49,""
1408,59.3497,5.1978,24,"HAUGESUND AP"
1411,59.0703,5.4119,22.42,"KVITSOY - NORDBO"
1412,58.6592,5.5553,25.6,"OBRESTAD"
1413,58.7606,5.6506,87,"SAERHEIM"
1414,59.4381,5.0781,25,"ROVER"
1415,58.8842,5.6369,8.83,"STAVANGER/SOLA"
